73,2,5,84,-224,-15,122,-198,173,-1928,0,0,0,7/13/2016 14:57
74,1,5,84,-207,12,103,-213,170,-1912,0,0,0,7/13/2016 14:57
75,1,4,84,-241,-17,141,-216,164,-1919,0,0,0,7/13/2016 14:57
76,1,5,85,-195,11,119,-224,162,-1930,0,0,0,7/13/2016 14:57
77,1,4,84,-342,-28,170,-210,174,-1928,0,0,0,7/13/2016 14:57
78,1,5,84,-262,-14,166,-211,161,-1936,0,0,0,7/13/2016 14:57
,,,,,,,,,,,,,
80,1,3,84,-188,30,2,-219,155,-1921,0,0,0,7/13/2016 14:57
81,0,3,85,-398,-101,75,-225,169,-1951,0,0,0,7/13/2016 14:57
82,3,3,87,-171,67,84,-180,164,-1939,0,0,0,7/13/2016 14:57
83,0,4,82,-312,-14,-11,-210,152,-1953,0,0,0,7/13/2016 14:57
84,1,4,83,-333,-45,125,-223,166,-1941,0,0,0,7/13/2016 14:57
85,0,6,83,-304,16,173,-204,158,-1941,0,0,0,7/13/2016 14:57
86,2,9,80,-252,-34,-32,-226,159,-1918,0,0,0,7/13/2016 14:57
87,0,6,87,-197,59,63,-223,137,-1923,0,0,0,7/13/2016 14:57
88,1,8,84,-340,-10,-153,-225,142,-1902,0,0,0,7/13/2016 14:57
89,3,9,85,-219,78,-215,-207,117,-1921,0,0,0,7/13/2016 14:57
90,-2,9,84,-316,35,-190,-197,97,-1904,0,0,0,7/13/2016 14:57
91,3,5,86,-270,67,-34,-207,89,-1935,0,0,0,7/13/2016 14:57
92,0,13,83,-324,-8,62,-222,92,-1916,0,0,0,7/13/2016 14:57
,,,,,,,,,,,,,
94,2,9,86,-350,17,175,-199,93,-1938,0,0,0,7/13/2016 14:57
95,0,7,86,-299,32,28,-234,98,-1927,0,0,0,7/13/2016 14:57
96,2,6,85,-268,29,56,-207,93,-1924,0,0,0,7/13/2016 14:57
97,0,12,82,-418,-134,434,-206,87,-1915,0,0,0,7/13/2016 14:57
98,0,6,86,-159,63,219,-196,75,-1914,0,0,0,7/13/2016 14:57
99,2,7,83,-277,-29,427,-216,94,-1896,0,0,0,7/13/2016 14:57
,,,,,,,,,,,,,
101,3,8,85,-162,-20,60,-209,79,-1917,0,0,0,7/13/2016 14:57
102,2,8,86,-204,29,-334,-203,63,-1914,0,0,0,7/13/2016 14:57
103,2,3,84,-177,79,58,-199,57,-1914,0,0,0,7/13/2016 14:57
104,-3,3,84,-380,111,-85,-210,63,-1921,0,0,0,7/13/2016 14:57
105,1,4,81,-296,-77,-108,-214,54,-1941,0,0,0,7/13/2016 14:57
106,3,5,83,-223,-57,-144,-203,61,-1916,0,0,0,7/13/2016 14:57
107,3,5,83,-246,-24,-72,-227,49,-1936,0,0,0,7/13/2016 14:57
108,2,3,85,-319,53,45,-212,49,-1927,0,0,0,7/13/2016 14:57
109,-3,0,83,-409,-159,228,-186,48,-1827,0,0,0,7/13/2016 14:57
,,,,,,,,,,,,,
111,4,2,85,-134,15,-191,-185,48,-1928,0,0,0,7/13/2016 14:57
112,4,5,85,-58,2,-352,-178,53,-1905,0,0,0,7/13/2016 14:57
113,-1,6,85,-31,85,-74,-182,49,-1760,0,0,0,7/13/2016 14:57
114,4,4,83,-109,-92,-536,-188,40,-1901,0,0,0,7/13/2016 14:57
115,0,6,83,-213,14,-177,-187,40,-1914,0,0,0,7/13/2016 14:57
116,-2,11,83,-262,-104,83,-190,48,-1874,0,0,0,7/13/2016 14:57
117,3,0,87,-192,24,45,-170,28,-1911,0,0,0,7/13/2016 14:57
118,0,0,84,-276,-1,155,-188,40,-1905,0,0,0,7/13/2016 14:57
,,,,,,,,,,,,,
120,0,10,84,-196,43,497,-188,62,-1888,0,0,0,7/13/2016 14:57
121,0,4,84,-461,-130,532,-191,62,-1887,0,0,0,7/13/2016 14:57
122,0,3,82,-402,-132,40,-191,49,-1881,0,0,0,7/13/2016 14:57
123,3,3,83,-297,44,8,-192,57,-1859,0,0,0,7/13/2016 14:57
124,0,3,86,-177,108,102,-183,53,-1864,0,0,0,7/13/2016 14:57
125,0,13,84,-366,23,-50,-192,59,-1877,0,0,0,7/13/2016 14:57
126,1,1,86,-340,-49,-163,-195,45,-1837,0,0,0,7/13/2016 14:57
127,0,9,82,-341,137,157,-198,68,-1825,0,0,0,7/13/2016 14:57
128,-1,9,83,-382,-82,144,-199,56,-1861,0,0,0,7/13/2016 14:57
129,1,1,85,-283,10,194,-206,69,-1830,0,0,0,7/13/2016 14:57
,,,,,,,,,,,,,
131,3,1,87,-231,-7,-355,-202,69,-1816,0,0,0,7/13/2016 14:57
132,1,10,84,-289,17,45,-233,58,-1818,0,0,0,7/13/2016 14:57
133,0,7,80,-234,62,-79,-246,74,-1852,0,0,0,7/13/2016 14:57
134,3,3,84,-213,15,-385,-232,70,-1823,0,0,0,7/13/2016 14:57
135,-1,4,84,-371,-38,-94,-224,78,-1822,0,0,0,7/13/2016 14:57
136,4,7,82,-297,35,171,-223,72,-1808,0,0,0,7/13/2016 14:57
137,1,8,85,-319,-35,48,-222,68,-1799,0,0,0,7/13/2016 14:57
138,0,1,85,-301,28,56,-234,75,-1825,0,0,0,7/13/2016 14:57
139,5,6,85,-403,-66,420,-249,87,-1825,0,0,0,7/13/2016 14:57
,,,,,,,,,,,,,
141,0,6,83,-181,34,-354,-247,81,-1819,0,0,0,7/13/2016 14:57
